EuringCode,PECBMS_species_name,Year,Index,Lower_CL,Upper_CL,Index_imputed_SE
70,Tachybaptus_ruficollis,1990,100,100,100,0
70,Tachybaptus_ruficollis,1991,77.2943525065766,38.7863329444907,115.802372068663,19.6469487561663
70,Tachybaptus_ruficollis,1992,111.688650907666,55.5844846964582,167.792817118874,28.624574597555
70,Tachybaptus_ruficollis,1993,102.979533200246,61.9308268703101,144.028239530182,20.9432175152734
70,Tachybaptus_ruficollis,1994,133.153603612008,76.1960046459944,190.111202578022,29.0599994724559
70,Tachybaptus_ruficollis,1995,119.18505942275,79.0878622522194,159.282256593281,20.457753658434
70,Tachybaptus_ruficollis,1996,79.5966342655647,51.6178522380796,107.57541629305,14.2748887895332
70,Tachybaptus_ruficollis,1997,83.4213324875464,53.2789868365451,113.563678138548,15.3787477811231
70,Tachybaptus_ruficollis,1998,108.55986119144,64.2807531859463,152.838969196934,22.591381635456
70,Tachybaptus_ruficollis,1999,100.981361592567,63.589316621824,138.37340656331,19.0775739646648
70,Tachybaptus_ruficollis,2000,145.392637922349,98.5080755453277,192.27720029937,23.920695090317
70,Tachybaptus_ruficollis,2001,107.395660366798,68.3266558606814,146.464664872915,19.9331655643452
70,Tachybaptus_ruficollis,2002,117.839885072483,79.8625711764096,155.817198968556,19.3761805592211
70,Tachybaptus_ruficollis,2003,142.821694434598,97.5838813756133,188.059507493583,23.0805168668289
70,Tachybaptus_ruficollis,2004,126.526614302506,86.4200646831188,166.633163921893,20.4625253160139
70,Tachybaptus_ruficollis,2005,109.405026213176,74.5660146405375,144.244037785814,17.7750059044074
70,Tachybaptus_ruficollis,2006,97.985037034273,66.3861004557674,129.583973612779,16.1219064176049
70,Tachybaptus_ruficollis,2007,120.416425679584,82.19801623206,158.634835127108,19.4991884936347
70,Tachybaptus_ruficollis,2008,127.621783988507,88.0486905526721,167.194877424342,20.1903537937933
70,Tachybaptus_ruficollis,2009,104.294856247318,71.8467640672482,136.742948427388,16.5551490714642
70,Tachybaptus_ruficollis,2010,98.2723558275341,67.4855825907696,129.059129064299,15.7075373656962
70,Tachybaptus_ruficollis,2011,100.925390399075,68.4265528474826,133.424227950667,16.581039567139
70,Tachybaptus_ruficollis,2012,98.0055598052202,66.3288642467062,129.682255363734,16.1615793665888
70,Tachybaptus_ruficollis,2013,94.4476576055523,64.1207960880455,124.774519123059,15.4728885293402
70,Tachybaptus_ruficollis,2014,97.7760779119013,66.6349977880726,128.91715803573,15.8883061856269
70,Tachybaptus_ruficollis,2015,97.8954831246852,66.3414694504703,129.4494967989,16.098986568477
70,Tachybaptus_ruficollis,2016,89.3412190525943,60.4698062623191,118.21263184287,14.7303126480996
70,Tachybaptus_ruficollis,2017,95.1230433403608,64.6718186400046,125.574268040717,15.5363391328348
70,Tachybaptus_ruficollis,2018,80.5817272710312,54.5249216422252,106.638532899837,13.2942885861255
70,Tachybaptus_ruficollis,2019,79.889550178175,54.1617940795919,105.617306276758,13.1264061727465
70,Tachybaptus_ruficollis,2020,90.2964607548648,61.6713585237999,118.92156298593,14.6046439954413
70,Tachybaptus_ruficollis,2021,81.3224127315808,54.4651252522447,108.179700210917,13.7026976935388
90,Podiceps_cristatus,1990,100,100,100,0
90,Podiceps_cristatus,1991,127.26737601812,100.145469611537,154.389282424703,13.8377073502974
90,Podiceps_cristatus,1992,115.508692007959,92.2573070911977,138.76007692472,11.8629514881435
90,Podiceps_cristatus,1993,112.435617718004,89.9248501059925,134.946385330016,11.4850855163324
90,Podiceps_cristatus,1994,109.487309092538,90.2910648877376,128.683553297338,9.79400214530631
90,Podiceps_cristatus,1995,114.675641263524,96.3245687870844,133.026713739964,9.36279207981611
90,Podiceps_cristatus,1996,102.416614947566,85.8126095246014,119.020620370531,8.47143133824723
90,Podiceps_cristatus,1997,94.6984189950925,79.372542787447,110.024295202738,7.8193245957375
90,Podiceps_cristatus,1998,123.126435604922,82.4914997339487,163.761371475895,20.7321101382517
90,Podiceps_cristatus,1999,139.512966031748,94.8572282699272,184.168703793569,22.7835396743984
90,Podiceps_cristatus,2000,107.374610507188,80.6335751409278,134.115645873448,13.6433853909491
90,Podiceps_cristatus,2001,108.128962909407,84.7601870088158,131.497738809998,11.9228448472404
90,Podiceps_cristatus,2002,97.465017627149,78.9231633277354,116.006871926563,9.46012974459876
90,Podiceps_cristatus,2003,86.2674591952295,69.6509785323786,102.88393985808,8.47779625655658
90,Podiceps_cristatus,2004,103.848540881549,83.5227949804492,124.174286782649,10.3702785209693
90,Podiceps_cristatus,2005,90.4838988310417,72.2312839530354,108.736513709048,9.31255861122768
90,Podiceps_cristatus,2006,91.9151849411042,74.0027236724614,109.827646209747,9.13901085134835
90,Podiceps_cristatus,2007,89.6322931929133,73.1043884238247,106.160197962002,8.43260447402481
90,Podiceps_cristatus,2008,93.916554164294,76.0859122332261,111.747196095362,9.09726629136119
90,Podiceps_cristatus,2009,84.417728241188,68.9481876915102,99.8872687908658,7.89262272942746
90,Podiceps_cristatus,2010,83.0120350879438,66.3678971166023,99.6561730592853,8.49190712823546
90,Podiceps_cristatus,2011,71.7383376094899,57.7850451373481,85.6916300816317,7.11902677150093
90,Podiceps_cristatus,2012,87.0083752951188,70.2465846220679,103.77016596817,8.5519340168627
90,Podiceps_cristatus,2013,85.9206746303417,69.325553452972,102.515795807711,8.46689855988248
90,Podiceps_cristatus,2014,96.0759598958367,77.6841838573871,114.467735934286,9.3835592032906
90,Podiceps_cristatus,2015,74.2605235039317,59.6875535473202,88.8334934605432,7.43518875337321
